API_UWI,WellName,Latitude,Longitude,ENVInterval,LateralLength_FT,SpudDate,CompletionDate,FirstProdDate,First3MonthGas_MCF,First3MonthOil_BBL,First3MonthWater_BBL,First6MonthGas_MCF,First6MonthOil_BBL,First6MonthWater_BBL,First9MonthGas_MCF,First9MonthOil_BBL,First9MonthWater_BBL,First12MonthGas_MCF,First12MonthOil_BBL,First12MonthWater_BBL,CumGas_MCF,CumOil_BBL,CumWater_BBL,Norm. Cum. Water 3mo (bbl),Norm. Cum. Water 6mo (bbl),Norm. Cum. Water 9mo (bbl),Norm. Cum. Water 12mo (bbl),Norm. Cum. Water (bbl),Norm. Cum. Oil 3mo (bbl),Norm. Cum. Gas 3mo (Mcf),Norm. Cum Oil 6mo (bbl),Norm. Cum. Gas 6mo (Mcf),Norm. Cum. Oil 9mo (bbl),Norm. Cum Gas 9mo (Mcf),Norm. Cum Oil 12mo (bbl),Norm. Cum. Gas 12mo (Mcf),Norm. Cum. Oil (bbl),Norm. Cum Gas (Mcf),MonthNumber,ProdDate,MonthlyOil_BBL,MonthlyGas_MCF,MonthlyWater_BBL
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,11,2025-05-01,5187.929631225993,42064.61544803363,15030.834348527842
42-317-45659,TEMPLE FORK 32-20 J 10WA,32.184353,-101.867965,WOLFCAMP A,12845.0,2023-12-22,2024-07-29,2024-07-01,122496.0,85630.0,182190.0,418129.0,165712.0,340675.0,614693.0,207644.0,441066.0,777242.0,228697.0,500562.0,920677,242624.0,547562.0,141837.2907746205,265219.9299338264,343375.6325418451,389694.0443752433,426284.1572596341,66664.07162319969,95364.73335928377,129008.95289996108,325518.87894122227,161653.56169715844,478546.5161541456,178043.59673024525,605093.0323082912,188885.94783962631,716759.0502140911,12,2025-06-01,4006.1039293905196,39364.98392253101,12388.896330754591
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,1,2024-08-01,52071.21468340968,70554.67731516337,103241.54240588273
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,2,2024-09-01,18490.40416054144,46024.48610175215,31009.90555530102
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,3,2024-10-01,10775.816893702735,33539.23508752444,17457.540977903354
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,4,2024-11-01,5805.161759360232,21634.989873812116,9196.91540738433
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,5,2024-12-01,5805.161759360232,21634.989873812116,9196.91540738433
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,6,2025-01-01,5805.161759360232,21634.989873812116,9196.91540738433
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,7,2025-02-01,20408.859236729735,58140.93576361842,32402.787986202216
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,8,2025-03-01,17606.69616662329,58140.93576361842,27991.292519578772
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,9,2025-04-01,15428.906350814286,58140.93576361842,24555.28855482039
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,10,2025-05-01,14159.664872705142,65305.343511450395,22543.911874792095
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,11,2025-06-01,12215.52436337329,65305.343511450395,19474.658541469274
42-317-45752,TEMPLE FORK 32-20 Q 17JM,32.185559,-101.86292,JO MILL,12838.0,2023-12-28,2024-08-05,2024-08-01,192722.0,104421.0,194764.0,276047.0,126779.0,230185.0,499971.0,195391.0,339243.0,751488.0,242994.0,415119.0,891993,263466.0,447836.0,151708.98893908708,179299.73516124007,264249.10422184144,323351.7681881913,348836.26733136,81337.43573765384,150118.39850443995,98752.92101573454,215023.3681258763,152197.38276990186,389446.17541673157,189277.14597289296,585362.2059510828,205223.5550708833,694806.8234927559,12,2025-07-01,10704.57396691267,65305.343511450395,17084.09355008848
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,1,2024-08-01,38623.47728702814,44136.45782808011,88265.38609546117
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,2,2024-09-01,27292.418472178575,41915.23432052454,56903.08389577372
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,3,2024-10-01,20818.224093906818,39805.796717713034,41205.4654724732
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,4,2024-11-01,14067.765710862828,35931.97385212387,26417.949318957213
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,5,2024-12-01,14067.765710862828,35931.97385212387,26417.949318957213
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,6,2025-01-01,14067.765710862828,35931.97385212387,26417.949318957213
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,7,2025-02-01,28267.046421740433,53844.98332648488,53237.66387469018
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,8,2025-03-01,23857.924911783233,53369.9602449754,45017.11336424068
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,9,2025-04-01,20550.23766717952,52899.12784036873,38831.7138931889
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,10,2025-05-01,18754.948417645508,52432.44914230892,35454.353764339954
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,11,2025-06-01,15829.533245058577,51969.88750659164,29979.76519822402
42-317-45748,TEMPLE FORK 32-20 M 13MS,32.185464,-101.863309,JO MILL,12799.0,2024-01-08,2024-08-03,2024-08-01,161085.0,111011.0,238540.0,299053.0,165027.0,339977.0,503983.0,258044.0,515434.0,703537.0,319760.0,632282.0,821100,351475.0,692538.0,186373.9354637081,265627.78342057974,402714.27455269947,494008.9069458552,541087.5849675756,86734.11985311353,125857.48886631768,128937.41698570202,233653.41042268928,201612.6259864052,393767.4818345183,249832.01812641614,549681.2250957106,274611.29775763734,641534.4948824127,12,2025-07-01,13634.910477306847,51511.406612291736,25860.513430591738
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,1,2024-07-01,33103.68754678299,41949.53370119752,46460.59300156227
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,2,2024-08-01,23503.624673723294,40048.643127065116,33035.844958267866
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,3,2024-09-01,17979.908477259294,38233.88902826421,25294.62436866849
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,4,2024-10-01,13492.057624755726,39209.74142112849,18967.505456439547
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,5,2024-11-01,12108.404560582254,34571.44876684718,17054.475188510092
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,6,2024-12-01,10960.886305449949,30835.822748127805,15462.927234313394
42-317-45751,TEMPLE FORK 32-20 M 16WB,32.18552,-101.863076,WOLFCAMP B UPPER,12755.0,2024-01-02,2024-07-23,2024-07-01,153356.0,95136.0,133661.0,286795.0,141770.0,199330.0,383770.0,177016.0,249175.0,507481.0,214655.0,302558.0,617663,237975.0,335753.0,104791.06232849862,156275.97020776165,195354.7628381027,237207.36965895726,263232.4578596629,74587.22069776557,120232.06585652685,111148.5691885535,224849.07879263035,138781.654253234,300878.0870246962,168290.8663269306,397868.2869462955,186573.89259114073,484251.66601332807,7,2025-01-01,9211.028354893502,25343.002744021942,13026.264210113683
